# content digests — recorded state, not law
# path	sha256	words	blob	commit	bind
# A document whose bytes differ from its recorded digest is DRIFT. Intentional change is a
# two-step act: edit the document, COMMIT it, then --record, and say why in the receipt.
# bind is `committed` (the working tree equals HEAD for that path) or `no-repo` (outside
# version control, so no commit can hold it — counted and named, never silent).
# --record REFUSES a changed document that no commit holds: the working tree differs from
# HEAD, or the document sits outside version control entirely. It keeps the previous row
# and exits 1, so a change the repository does not hold cannot be blessed by re-recording
# the surface. A first pin of an out-of-git document is allowed (nothing is overwritten).
# --record never drops a digest for a file that is gone: it carries the old digest forward,
# so a deletion cannot be laundered by re-recording the surface without it.
# recorded: 2026-09-21 11:38
CONSTITUTION.md	e6f215fb4079e684a43769b2611d77d29026175735a938d0415351eeca201c21	1311	89bf545a86237a7b3e47f34959136895adde81d4	acabaad82fb87bd4b8f968864a2515fb4e830d22	committed
Projects/notrick/AGENTS.md	498833c6625c224c27fc227807c6bb55ea09f7933f0de086c99b6aeebe1106e6	806	45128ef4cbdb7bda478de4710654700df2780a91	b60ae35b82a8bb0cec43c9d7d2cf5a19dcb1a954	committed
Projects/notrick/RULES.md	69184cdcbfc7e9a687f893087b704329404732a0458bbc42c6f388dc294816a4	838	da4e85f12c1ea96975c8bdf7593e8eda41b86ddf	b60ae35b82a8bb0cec43c9d7d2cf5a19dcb1a954	committed
Projects/notrick/INTEGRITY.md	f8e574135ac216a6ec3c18915ebc9c2266123272e2dc582ef2cccdb606d75fb2	935	24261105d82e34a4fd2a4d5d0d69374c76ce1797	b60ae35b82a8bb0cec43c9d7d2cf5a19dcb1a954	committed
Projects/notrick/ONBOARDING.md	400515658651e209567b74c0d0d853ba57c6d54ad33a436ecfc922f229b9a0b1	602	fcb88242664985b8b9c7c81d065e8ede05cfd9bf	b60ae35b82a8bb0cec43c9d7d2cf5a19dcb1a954	committed
Projects/notrick/FOUNDATIONAL-BRIEF.md	6ccab52206ee89a646c2d05b9f343b271fb7ab5fbfc84d2ca1b0553e5e25db42	581	834c4f8a9b062a3ba9a3917ea20d12a92bede2ea	b60ae35b82a8bb0cec43c9d7d2cf5a19dcb1a954	committed
Projects/notrick/CONTEXT.md	10f16a8033e6d563b847606d5f01cbed7f2803443974cf17cb2d1e44e1763fe5	10689	66a0bc873836c09787f4280d8713e7fd4073ac89	b60ae35b82a8bb0cec43c9d7d2cf5a19dcb1a954	committed
Projects/notrick/README.md	d58095d64f871b2baf10853792c72086847650d4d36be661d662693c88d776b3	871	29f8b5569b0ffc443fcf719d7d3b9745d49b8928	b60ae35b82a8bb0cec43c9d7d2cf5a19dcb1a954	committed
Projects/colony-kernel/AGENTS.md	164b65a72f49744589c2618d46a17bb0253cb74d9a9cc64786259758e95aceae	627	c46731cf69e76d352e2385f1ca61d01b0d51898d	142fec0cc81544d8a45ce69c9fdae38b29a40a4f	committed
Projects/colony-kernel/README.md	5a9ae2c3281deb327b71bed0a5f7cc60cb4f5f6fc7eeee6f301f82fb12b6b541	558	ef3408cbe3349630f34aeba129af1a2c949eaa4f	142fec0cc81544d8a45ce69c9fdae38b29a40a4f	committed
